Project,Iteration,Group
cockpit,master,upstream
dnf,master,upstream
dnf-plugin-system-upgrade,master,upstream
dnf-plugins-core,master,upstream
dnf-plugins-extras,master,upstream
entangle,master,upstream
expendable,master,upstream
freeipa,master,upstream
gfs2-utils,master,upstream
gss-ntlmssp,master,upstream
hivex,master,upstream
ibus,head,upstream
ibus-anthy,head,upstream
ibus-chewing,master,upstream
ibus-input-pad,head,upstream
ibus-libpinyin,master,upstream
ibus-table,1.9.1,upstream
ibus-typing-booster,1.2.11,upstream
im-chooser,master,upstream
imsettings,master,upstream
input-pad,head,upstream
iok,master,upstream
isitfedoraruby,master,upstream
libguestfs,master,upstream
libosinfo,master,upstream
libvirt,master,upstream
libvirt-glib,master,upstream
libvirt-sandbox,master,upstream
linux-pam,master,upstream
oscap-anaconda-addon,master,upstream
oscap-anaconda-addon,rhel7-branch,upstream
pam_krb5,master,upstream
pkinit-nss,master,upstream
python-fedora,0.4.0,upstream
spacewalk-other,master,upstream
spacewalk-frontend,master,upstream
spice-gtk,1,upstream
sssd,master,upstream
storaged,storaged,upstream
virt-manager,master,upstream
virt-top,master,upstream
virt-viewer,master,upstream
volume_key,master,upstream
accessibility-guide,master,docs
amateur-radio-guide,master,docs
anaconda-addon-development-guide,master,docs
cloud-guide,master,docs
csi-security-policy,master,docs
defensive-coding-guide,master,docs
docbook-locales,master,docs
fedora-elections-guide,master,docs
fedora-installation-guide,f22,docs
openssh-guide,master,docs
packagers-guide,master,docs
power-management-guide,master,docs
fedora-release-notes,master,docs
fedora-release-notes,f22,docs
securityguide,master,docs
software-collections-guide,master,docs
software-management-guide,master,docs
storage-administration-guide,master,docs
fedora-uefi-secure-boot-guide,master,docs
fedora-virt-deploy-and-admin,master,docs
fedora-cookbook,master,docs
freeipa-guide,master,docs
readme-live-image,master,docs
man-pages-l10n,master,docs
musicians-guide,master,docs
networking-guide,f22,docs
networking-guide,master,docs
publican-fedora,3,docs
system-administrators-guide,master,docs
system-administrators-guide,f22,docs
technical-notes,master,docs
translation-quick-start-guide,master,docs
virtualization-getting-started-guide,master,docs
abrt,master,main
abrt,rhel7,main
anaconda,master,main
anaconda,rhel7-branch,main
anaconda,rhel6-branch,main
anaconda,f23-branch,main
audit-viewer,default,main
authconfig,master,main
blivet,master,main
blivet,rhel7-branch,main
blivet,rhel6-branch,main
blivet,f23-branch,main
chkconfig,master,main
comps,master,main
firewalld,master,main
firewalld,RHEL-7,main
firstboot,master,main
gnome-abrt,master,main
gnome-abrt,rhel7,main
initial-setup,master,main
initial-setup,rhel7-branch,main
initscripts,master,main
libpwquality,master,main
libreport,master,main
libreport,rhel7,main
libuser,default,main
liveusb-creator,master,main
mlocate,default,main
newt,master,main
passwd,password,main
pykickstart,master,main
pykickstart,rhel7-branch,main
python-meh,master,main
python-meh,rhel7-branch,main
redhat-menus,master,main
rhel-comps,master,main
selinux,master,main
setroubleshoot,master,main
system-config-audit,master,main
system-config-firewall,master,main
system-config-kdump,master,main
system-config-kickstart,master,main
system-config-language,master,main
system-config-printer,master,main
usermode,default,main
docsite-publican,master,web
fedora-web,fedorahosted.org,web
fedora-web,boot.fedoraproject.org,web
fedora-web,fedoracommunity.org,web
fedora-web,fedoraproject.org,web
fedora-web,start.fedoraproject.org,web
fedora-web,spins.fedoraproject.org,web
fedora-web,getfedora.org,web
fedora-web,labs.fedoraproject.org,web
fedora-web,arm.fedoraproject.org,web
fedora-software,master,web
